CTRY,UNCTRY,PHYSINT,DISAP,POLPRIS,FORMOV,DOMMOV,SPEECH,WECON,WOPOL,WOSOC,
"Afghanistan",4,4,2,2,0,0,1,0,2,,
"Albania",8,6,2,2,2,1,1,1,2,,
"Algeria",12,4,1,1,1,1,0,1,2,,
"Andorra",20,8,2,2,2,2,2,3,3,,
"Angola",17,4,1,1,1,0,1,1,3,,
"Antigua and Barbuda",28,7,2,2,2,2,1,2,3,,
"Argentina",32,5,2,2,2,2,1,2,3,,
"Armenia",51,4,2,1,1,1,1,1,2,,
"Australia",36,7,2,2,2,2,2,3,2,,
"Austria",40,7,2,2,2,2,1,3,3,,
"Azerbaijan",31,3,2,0,1,1,1,1,2,,
"Bahamas",44,6,2,2,2,2,2,2,2,,
"Bahrain",48,0,0,0,1,2,0,0,2,,
"Bangladesh",50,2,1,1,1,2,1,1,2,,
"Barbados",52,7,2,2,2,2,1,2,2,,
"Belarus",112,4,2,0,1,1,0,1,2,,
"Belgium",56,8,2,2,2,2,1,2,3,,
"Belize",84,7,2,2,2,2,2,2,2,,
"Benin",204,5,2,2,2,0,1,1,2,,
"Bhutan",64,5,2,0,0,2,2,2,2,,
"Bolivia",68,5,2,1,2,2,1,1,3,,
"Bosnia Herzegovenia",70,6,2,2,2,0,1,1,2,,
"Botswana",72,7,2,2,2,1,1,2,2,,
"Brazil",76,2,1,1,2,2,1,1,2,,
"Brunei",96,8,2,2,1,2,0,2,1,,
"Bulgaria",100,5,2,1,2,2,1,2,2,,
"Burkina Faso",854,5,2,2,2,2,2,1,2,,
"Burma",104,1,1,0,0,0,0,1,1,,
"Burundi",108,2,2,0,1,1,1,0,3,,
"Cambodia",116,4,2,1,1,2,1,1,2,,
"Cameroon",120,3,2,0,1,0,1,0,2,,
"Canada",124,7,2,2,2,2,1,2,2,,
"Cape Verde",132,7,2,2,2,2,2,1,2,,
"Central African Republic",140,3,2,1,1,0,0,1,2,,
"Chad",148,3,1,1,2,1,0,0,2,,
"Chile",152,5,2,2,2,2,2,1,2,,
"China",156,0,0,0,0,0,0,1,2,,
"Colombia",170,1,0,0,2,1,1,1,2,,
"Comoros",174,8,2,2,2,2,1,1,1,,
"Congo, Democratic Republic of",180,0,0,0,0,0,0,0,2,,
"Congo, Republic of",178,4,2,1,2,2,1,0,2,,
"Costa Rica",188,6,2,2,2,1,2,3,3,,
"Cote d'Ivoire",384,2,1,1,1,0,0,1,2,,
"Croatia",191,8,2,2,2,2,1,2,2,,
"Cuba",192,4,2,0,0,0,0,3,3,,
"Cyprus",196,7,2,2,2,2,2,1,2,,
"Czech Republic",203,8,2,2,2,2,1,2,2,,
"Czechoslovakia",203,,,,,,,,,,
"Denmark",208,8,2,2,2,2,1,3,3,,
"Djibouti",262,4,2,0,2,2,0,1,2,,
"Dominica",212,8,2,2,2,2,2,1,2,,
"Dominican Republic",214,4,2,2,1,1,1,1,2,,
"East Timor",626,7,2,2,2,2,2,0,2,,
"Ecuador",218,4,2,1,2,2,1,1,3,,
"Egypt",818,0,0,0,0,2,1,0,1,,
"El Salvador",222,4,2,1,2,2,1,1,2,,
"Equatorial Guinea",226,4,1,0,1,1,0,1,2,,
"Eritrea",232,0,0,0,0,0,0,1,1,,
