country,iso3,death,imprisonment,persecution
Afghanistan,AFG,false,true,true
Albania,ALB,false,false,false
Algeria,DZA,false,true,true
Andorra,AND,false,false,false
Angola,AGO,false,true,true
Antigua and Barbuda,ATG,false,true,true
Argentina,ARG,false,false,false
Armenia,ARM,false,false,false
Australia,AUS,false,false,false
Austria,AUT,false,false,false
Azerbaijan,AZE,false,false,false
"Bahamas, The",BHS,false,false,false
Bahrain,BHR,false,false,false
Bangladesh,BGD,false,true,true
Barbados,BRB,false,true,true
Belarus,BLR,false,false,false
Belgium,BEL,false,false,false
Belize,BLZ,false,true,true
Benin,BEN,false,false,false
Bhutan,BTN,false,true,true
Bolivia,BOL,false,false,false
Bosnia and Herzegovina,BIH,false,false,false
Botswana,BWA,false,true,true
Brazil,BRA,false,false,false
Brunei,BRN,false,true,true
Bulgaria,BGR,false,false,false
Burkina,BFA,false,false,false
Burma,MMR,false,false,false
Burundi,BDI,false,true,true
Cambodia,KHM,false,false,false
Cameroon,CMR,false,true,true
Canada,CAN,false,false,false
Cape Verde,CPV,false,false,false
Central African Republic,CAF,false,false,false
Chad,TCD,false,true,true
Chile,CHL,false,false,false
China,CHN,false,false,false
Colombia,COL,false,false,false
Comoros,COM,false,true,true
Congo,COG,false,false,false
Congo (Democratic Republic),COD,false,false,false
Costa Rica,CRI,false,false,false
Croatia,HRV,false,false,false
Cuba,CUB,false,false,false
Cyprus,CYP,false,false,false
Czech Republic,CZE,false,false,false
Denmark,DNK,false,false,false
Djibouti,DJI,false,false,false
Dominica,DMA,false,true,true
Dominican Republic,DOM,false,false,false
East Timor,TLS,false,false,false
Ecuador,ECU,false,false,false
Egypt,EGY,false,false,true
El Salvador,SLV,false,false,false
Equatorial Guinea,GNQ,false,false,false
Eritrea,ERI,false,true,true
Estonia,EST,false,false,false
Ethiopia,ETH,false,true,true
Fiji,FJI,false,false,false
Finland,FIN,false,false,false
France,FRA,false,false,false
Gabon,GAB,false,false,false
"Gambia, The",GMB,false,true,true
Georgia,GEO,false,false,false
Germany,DEU,false,false,false
Ghana,GHA,false,true,true
Greece,GRC,false,false,false
Grenada,GRD,false,false,false
Guatemala,GTM,false,false,false
Guinea,GIN,false,true,true
Guinea-Bissau,GNB,false,false,false
Guyana,GUY,false,true,true
Haiti,HTI,false,false,false
Honduras,HND,false,false,false
Hungary,HUN,false,false,false
Iceland,ISL,false,false,false
India,IND,false,false,false
Indonesia,IDN,false,false,false
Iran,IRN,true,true,true
Iraq,IRQ,false,false,false
Ireland,IRL,false,false,false
Israel,ISR,false,false,false
Italy,ITA,false,false,false
Ivory Coast,CIV,false,false,false
Jamaica,JAM,false,true,true
Japan,JPN,false,false,false
Jordan,JOR,false,false,false
Kazakhstan,KAZ,false,false,false
Kenya,KEN,false,true,true
Kiribati,KIR,false,true,true
Korea (North),PRK,false,false,false
Korea (South),KOR,false,false,false
Kosovo,false,false,false,
Kuwait,KWT,false,true,true
Kyrgyzstan,KGZ,false,false,false
Laos,LAO,false,false,false
Latvia,LVA,false,false,false
Lebanon,LBN,false,true,true
Lesotho,LSO,false,false,false
Liberia,LBR,false,true,true
Libya,LBY,false,false,true
Liechtenstein,LIE,false,false,false
Lithuania,LTU,false,false,false
Luxembourg,LUX,false,false,false
Macedonia,MKD,false,false,false
Madagascar,MDG,false,false,false
Malawi,MWI,false,true,true
Malaysia,MYS,false,true,true
Maldives,MDV,false,false,false
Mali,MLI,false,false,false
Malta,MLT,false,false,false
Marshall Islands,MHL,false,false,false
Mauritania,MRT,true,true,true
